budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Column1,Name2,tweets analyzed,movieTermCount,total retweets,positive percentage,positive retweets,negative percentage,negative retweets,neutral tweet percentage,P_N,P_N_N,P_Nratio,PandN/Nratio
50000000,Summit Entertainment,USA,Patrick Lussier,Action,10706786,Drive Angry,R,40599,104,5.4,Nicolas Cage,85499,Todd Farmer,2011,5612,Drive Angry,14,1,1,64.28571429,1,14.28571429,0,21.42857143,1,2,4.499999999,5.999999999
60000000,DreamWorks,USA,D.J. Caruso,Action,55100437,I Am Number Four,PG-13,40592,109,6.1,Alex Pettyfer,205616,Alfred Gough,2011,5531,I Am Number Four,17,3,2,17.64705882,0,23.52941176,0,58.82352941,0,1,0.75,3.25
36000000,Touchstone Pictures,UK,Kelly Asbury,Animation,99967670,Gnomeo & Juliet,G,40585,84,6,James McAvoy,45274,Rob Sprackling,2011,5640,Gnomeo & Juliet,20,7,1,50,0,10,0,40,1,2,5,9
10000000,Herrick Entertainment,USA,Brad Anderson,Horror,22197,Vanishing on 7th Street,R,40579,92,4.9,Hayden Christensen,22864,Anthony Jaswinski,2010,5498,Vanishing on 7th Street,9,7,3,44.44444444,1,22.22222222,2,33.33333333,1,2,2,3.5
0,Catfish Productions,USA,James Keach,Comedy,25517,Waiting for Forever,PG-13,40578,100,6,Rachel Bilson,18609,Steve Adams,2010,5453,Waiting for Forever,46,3,12,54.34782609,10,10.86956522,1,34.7826087,1,2,4.999999999,8.199999999
0,Savage Film,Belgium,Michaël R. Roskam,Crime,151840,Bullhead,R,40576,129,7.4,Matthias Schoenaerts,19152,Michaël R. Roskam,2011,5708,Bullhead,40,4,5,80,1,2.5,0,17.5,1,2,32,39
37000000,New Line Cinema,USA,Mikael Håfström,Drama,33047633,The Rite,PG-13,40571,114,6,Colin O'Donoghue,80181,Michael Petroni,2011,5619,The Rite,69,4,5,40.57971014,2,14.49275362,0,44.92753623,1,1,2.8,5.900000001
40000000,CBS Films,USA,Simon West,Action,29121498,The Mechanic,R,40571,93,6.6,Jason Statham,131571,Richard Wenk,2011,5580,The Mechanic,16,1,6,37.5,1,43.75,0,18.75,0,0,0.857142857,1.285714286
18000000,Pathé,USA,Danny Boyle,Adventure,18335230,127 Hours,R,40571,94,7.6,James Franco,299503,Danny Boyle,2010,5330,127 Hours,8,6,0,50,0,12.5,0,37.5,1,2,4,7
3500000,Incentive Filmed Entertainment,USA,Derek Cianfrance,Drama,9737892,Blue Valentine,R,40571,112,7.4,Ryan Gosling,154714,Derek Cianfrance,2010,5311,Blue Valentine,58,9,10,56.89655172,1,6.896551724,0,36.20689655,1,2,8.25,13.5
