budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Column1,Name2,tweets analyzed,movieTermCount,total retweets,positive percentage,positive retweets,negative percentage,negative retweets,neutral tweet percentage,P_N,P_N_N,P_Nratio,PandN/Nratio
0,Sixteen Films,UK,Ken Loach,Drama,258168,"I, Daniel Blake",R,42895,100,7.9,Dave Johns,30977,Paul Laverty,2016,6774,"I, Daniel Blake",22,22,10,27.27272727,0,13.63636364,2,59.09090909,1,1,1.999999999,6.333333331
0,Everything Is Everything,USA,Sarah Adina Smith,Drama,72622,Buster's Mal Heart,UNRATED,42878,96,5.9,Rami Malek,2994,Sarah Adina Smith,2016,6773,Buster's Mal Heart,6,6,1,33.33333333,0,33.33333333,1,33.33333333,0,0,1,2
30000000,Keep Your Head,USA,James Gray,Adventure,8574339,The Lost City of Z,PG-13,42846,141,6.6,Charlie Hunnam,39409,James Gray,2016,6610,The Lost City of Z,12,12,17,33.33333333,16,16.66666667,0,50,1,1,1.999999999,4.999999999
0,Braveart Films,USA,Susan Johnson,Comedy,19025,Carrie Pilby,Not specified,42829,98,6.6,Bel Powley,2617,Kara Holden,2016,6699,Carrie Pilby,6,6,0,33.33333333,0,16.66666667,0,50,1,1,1.999999999,4.999999999
5000000,BH Tilt,USA,Greg McLean,Action,10164675,The Belko Experiment,R,42811,89,6.1,John Gallagher Jr.,23422,James Gunn,2016,6683,The Belko Experiment,9,9,1,44.44444444,0,11.11111111,0,44.44444444,1,0,4,8
40000000,Regency Enterprises,USA,Gore Verbinski,Drama,8106986,A Cure for Wellness,R,42783,146,6.4,Dane DeHaan,45187,Justin Haythe,2016,6653,A Cure for Wellness,16,16,0,37.5,0,18.75,0,43.75,1,1,2,4.333333333
0,Paris Film,Canada,Oz Perkins,Horror,19980,The Blackcoat's Daughter,R,42782,93,5.8,Emma Roberts,6768,Oz Perkins,2015,6479,The Blackcoat's Daughter,18,18,0,55.55555556,0,11.11111111,0,33.33333333,1,2,5.000000001,8.000000001
40000000,Constantin Film,UK,Paul W.S. Anderson,Action,26830068,Resident Evil: The Final Chapter,R,42762,107,5.6,Milla Jovovich,58140,Paul W.S. Anderson,2016,6633,Resident Evil: The Final Chapter,11,11,1,9.090909091,1,63.63636364,0,27.27272727,0,0,0.142857143,0.571428571
7000000,A24,USA,Mike Mills,Comedy,5663855,20th Century Women,R,42755,119,7.4,Annette Bening,20814,Mike Mills,2016,6740,20th Century Women,7,7,0,0,0,0,0,100,0,1,0,0
0,Cine Bazar,Japan,Hideaki Anno,Action,1908028,Shin Godzilla,NOT RATED,42748,120,6.7,Hiroki Hasegawa,11739,Hideaki Anno,2016,6767,Shin Godzilla,9,9,0,55.55555556,0,0,0,44.44444444,1,2,0,0
43000000,Apaches Entertainment,UK,J.A. Bayona,Drama,3730982,A Monster Calls,PG-13,42741,108,7.5,Lewis MacDougall,49969,Patrick Ness,2016,6648,A Monster Calls,12,12,0,25,0,16.66666667,0,58.33333333,1,1,1.5,4.999999999
35000000,Lakeshore Entertainment,USA,Anna Foerster,Action,30348260,Underworld: Blood Wars,R,42741,91,5.8,Kate Beckinsale,49911,Cory Goodman,2016,6644,Underworld: Blood Wars,15,15,6,73.33333333,5,6.666666667,0,20,1,2,11,14
25000000,Levantine Films,USA,Theodore Melfi,Biography,169380936,Hidden Figures,PG,42741,127,7.8,Taraji P. Henson,121818,Allison Schroeder,2016,6612,Hidden Figures,13,13,1,30.76923077,0,23.07692308,0,46.15384615,1,1,1.333333333,3.333333333
0,Komplizen Film,Germany,Maren Ade,Comedy,1478960,Toni Erdmann,R,42729,162,7.5,Sandra Hüller,29072,Maren Ade,2016,6732,Toni Erdmann,18,18,19,38.88888889,5,5.555555556,0,55.55555556,1,1,7,17
0,Aamir Khan Productions,India,Nitesh Tiwari,Action,12391761,Dangal,UNRATED,42725,161,8.7,Aamir Khan,70565,Piyush Gupta,2016,6714,Dangal,8,8,1,25,1,12.5,0,62.5,1,1,2,7
36000000,New Line Cinema,USA,David Frankel,Drama,30982955,Collateral Beauty,PG-13,42720,97,6.8,Will Smith,56439,Allan Loeb,2016,6666,Collateral Beauty,13,13,0,15.38461538,0,15.38461538,0,69.23076923,0,1,1,5.500000001
8500000,Amazon Studios,USA,Kenneth Lonergan,Drama,47695120,Manchester by the Sea,R,42720,137,7.9,Casey Affleck,159673,Kenneth Lonergan,2016,6630,Manchester by the Sea,20,20,1,5,0,30,0,65,0,1,0.166666667,2.333333333
45000000,Amblin Partners,USA,Josh Gordon,Comedy,54730514,Office Christmas Party,R,42713,105,5.8,Jason Bateman,37358,Justin Malen,2016,6739,Office Christmas Party,5,5,0,60,0,20,0,20,1,2,3,4
22500000,Focus Features,USA,Tom Ford,Crime,10639114,Nocturnal Animals,R,42713,116,7.5,Amy Adams,152436,Tom Ford,2016,6611,Nocturnal Animals,17,17,0,35.29411765,0,0,0,64.70588235,1,1,0,0
0,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,2647377,Chi-Raq,R,42706,127,5.7,Nick Cannon,6983,Kevin Willmott,2015,6574,Chi-Raq,8,8,0,25,0,37.5,0,37.5,0,0,0.666666667,1.666666667
8000000,Shooting Script Films,UK,Roger Spottiswoode,Biography,35070,A Street Cat Named Bob,UNRATED,42692,103,7.4,Luke Treadaway,16636,James Bowen,2016,6776,A Street Cat Named Bob,9,9,0,33.33333333,0,0,0,66.66666667,1,1,0,0
9000000,Gracie Films,USA,Kelly Fremon Craig,Comedy,14260193,The Edge of Seventeen,R,42692,104,7.4,Hailee Steinfeld,59867,Kelly Fremon Craig,2016,6641,The Edge of Seventeen,19,19,6,47.36842105,6,10.52631579,0,42.10526316,1,2,4.5,8.5
180000000,Heyday Films,UK,David Yates,Adventure,234037575,Fantastic Beasts and Where to Find Them,PG-13,42692,133,7.4,Eddie Redmayne,268073,J.K. Rowling,2016,6606,Fantastic Beasts and Where to Find Them,15,15,4,46.66666667,4,0,0,53.33333333,1,1,0,0
0,Blumhouse Productions,USA,Ti West,Action,50381,In a Valley of Violence,R,42664,104,6,Ethan Hawke,9141,Ti West,2016,6769,In a Valley of Violence,9,9,0,55.55555556,0,11.11111111,0,33.33333333,1,2,5.000000001,8.000000001
9000000,Allspark Pictures,USA,Mike Flanagan,Horror,34904885,Ouija: Origin of Evil,PG-13,42664,99,6.1,Elizabeth Reaser,35690,Mike Flanagan,2016,6713,Ouija: Origin of Evil,17,17,2,35.29411765,2,29.41176471,0,35.29411765,1,0,1.2,2.4
8500000,Bron Studios,USA,Nate Parker,Biography,15858754,The Birth of a Nation,R,42650,120,6.3,Nate Parker,14778,Nate Parker,2016,6779,The Birth of a Nation,5,5,3,60,3,20,0,20,1,2,3,4
45000000,Amblin Partners,USA,Tate Taylor,Crime,75311445,The Girl on the Train,R,42650,112,6.5,Emily Blunt,116916,Erin Cressida Wilson,2016,6628,The Girl on the Train,6,6,0,16.66666667,0,50,0,33.33333333,0,0,0.333333333,1
0,StudioCanal,UK,Susanna White,Crime,3152725,Our Kind of Traitor,R,42643,108,6.2,Carlos Acosta,13857,John le Carré,2016,6811,Our Kind of Traitor,17,17,0,82.35294118,0,0,0,17.64705882,1,2,0,0
110000000,Summit Entertainment,Hong Kong,Peter Berg,Action,61284947,Horizonte profundo,PG-13,42643,107,7.2,Mark Wahlberg,104498,Matthew Michael Carnahan,2016,6679,Horizonte profundo,9,9,0,11.11111111,0,11.11111111,0,77.77777778,0,1,1,8.000000001
110000000,Twentieth Century Fox Film Corporation,UK,Tim Burton,Adventure,87242834,Miss Peregrine's Home for Peculiar Children,PG-13,42643,127,6.7,Eva Green,116495,Ransom Riggs,2016,6638,Miss Peregrine's Home for Peculiar Children,20,20,2,30,0,5,1,65,1,1,6,19
90000000,Metro-Goldwyn-Mayer (MGM),USA,Antoine Fuqua,Action,93381044,The Magnificent Seven,PG-13,42636,132,6.9,Denzel Washington,138262,Akira Kurosawa,2016,6608,The Magnificent Seven,6,6,0,66.66666667,0,0,0,33.33333333,1,2,0,0
0,LD Entertainment,Czech Republic,Sean Ellis,Biography,2959288,Anthropoid,R,42622,120,7.2,Jamie Dornan,28589,Sean Ellis,2016,6759,Anthropoid,9,9,2,11.11111111,0,11.11111111,0,77.77777778,0,1,1,8.000000001
20000000,Heyday Films,UK,Derek Cianfrance,Drama,12545979,The Light Between Oceans,PG-13,42615,133,7.2,Michael Fassbender,32595,Derek Cianfrance,2016,6692,The Light Between Oceans,17,17,0,29.41176471,0,0,0,70.58823529,1,1,0,0
12000000,Film 44,USA,David Mackenzie,Crime,26862450,Hell or High Water,R,42608,102,7.6,Chris Pine,132328,Taylor Sheridan,2016,6636,Hell or High Water,8,8,0,37.5,0,25,0,37.5,1,0,1.5,3
60000000,Laika Entertainment,USA,Travis Knight,Animation,48023088,Kubo and the Two Strings,PG,42601,101,7.8,Charlize Theron,82575,Marc Haimes,2016,6716,Kubo and the Two Strings,13,13,1,61.53846154,0,23.07692308,0,15.38461538,1,2,2.666666666,3.333333333
100000000,LightWorkers Media,USA,Timur Bekmambetov,Action,26384681,Ben-Hur,PG-13,42601,123,5.7,Jack Huston,31863,Lew Wallace,2016,6697,Ben-Hur,7,7,5,14.28571429,0,0,0,85.71428571,1,1,0,0
65000000,Walt Disney Pictures,USA,David Lowery,Action,76204454,Pete's Dragon,PG,42594,102,6.7,Bryce Dallas Howard,41083,David Lowery,2016,6755,Pete's Dragon,13,13,11,76.92307692,11,15.38461538,0,7.692307692,1,2,5.000000001,5.500000001
29000000,Qwerty Films,UK,Stephen Frears,Biography,27370107,Florence Foster Jenkins,PG-13,42594,111,6.9,Meryl Streep,35671,Nicholas Martin,2016,6724,Florence Foster Jenkins,8,8,0,25,0,0,0,75,1,1,0,0
19000000,Annapurna Pictures,USA,Greg Tiernan,Animation,97661826,Sausage Party,R,42594,89,6.2,Seth Rogen,133200,Kyle Hunter,2016,6664,Sausage Party,20,20,5,60,1,15,4,25,1,2,4,5.666666667
175000000,Atlas Entertainment,USA,David Ayer,Action,325100054,Suicide Squad,PG-13,42587,123,6.2,Will Smith,435667,David Ayer,2016,6604,Suicide Squad,6,6,0,0,0,83.33333333,0,16.66666667,0,0,0,0.2
120000000,Captivate Entertainment,UK,Paul Greengrass,Action,162434410,Jason Bourne,PG-13,42580,123,6.7,Matt Damon,163614,Paul Greengrass,2016,6640,Jason Bourne,14,14,1,21.42857143,0,28.57142857,1,50,0,1,0.75,2.5
3500000,Warner Bros. Animation,USA,Sam Liu,Animation,3775000,Batman: The Killing Joke,R,42576,76,6.5,Kevin Conroy,36333,Brian Azzarello,2016,6818,Batman: The Killing Joke,6,6,16,33.33333333,0,33.33333333,0,33.33333333,0,0,1,2
0,Fox Searchlight Pictures,UK,Mandie Fletcher,Comedy,4750497,Absolutely Fabulous: The Movie,R,42573,91,5.4,Jennifer Saunders,9161,Jennifer Saunders,2016,6816,Absolutely Fabulous: The Movie,28,28,1,75,1,0,0,25,1,2,0,0
105000000,Blue Sky Studios,USA,Mike Thurmeier,Animation,64063008,Ice Age: Collision Course,PG,42573,94,5.7,Ray Romano,38556,Michael J. Wilson,2016,6731,Ice Age: Collision Course,7,7,2,42.85714286,2,14.28571429,0,42.85714286,1,0,2.999999999,5.999999999
185000000,Paramount Pictures,USA,Justin Lin,Action,158848340,Star Trek Beyond,PG-13,42573,122,7.1,Chris Pine,179426,Simon Pegg,2016,6621,Star Trek Beyond,13,13,1,61.53846154,1,7.692307692,0,30.76923077,1,2,8.000000001,12
144000000,Columbia Pictures,USA,Paul Feig,Action,128344089,Ghostbusters,PG-13,42566,116,5.3,Melissa McCarthy,157351,Katie Dippold,2016,6671,Ghostbusters,11,11,0,27.27272727,0,9.090909091,0,63.63636364,1,1,3,10
0,Digic Pictures,Japan,Takeshi Nozue,Animation,233569,Kingsglaive: Final Fantasy XV,PG-13,42560,110,6.9,Aaron Paul,15705,Takashi Hasegawa,2016,6805,Kingsglaive: Final Fantasy XV,7,7,0,42.85714286,0,14.28571429,0,42.85714286,1,0,2.999999999,5.999999999
33000000,Twentieth Century Fox Film Corporation,USA,Jake Szymanski,Adventure,46007113,Mike and Dave Need Wedding Dates,R,42559,98,6,Zac Efron,61076,Andrew Jay Cohen,2016,6675,Mike and Dave Need Wedding Dates,12,12,0,0,0,0,0,100,0,1,0,0
3000000,Blackbird,USA,Dan Kwan,Adventure,4208879,Swiss Army Man,R,42552,97,7,Paul Dano,69827,Daniel Scheinert,2016,6708,Swiss Army Man,12,12,38,41.66666667,27,25,0,33.33333333,1,2,1.666666667,3
180000000,Warner Bros. Pictures,UK,David Yates,Action,126643061,The Legend of Tarzan,PG-13,42552,110,6.3,Alexander Skarsgård,128712,Adam Cozad,2016,6643,The Legend of Tarzan,7,7,0,71.42857143,0,0,0,28.57142857,1,2,0,0
50000000,Bluegrass Films,USA,Gary Ross,Action,20758378,Free State of Jones,R,42545,139,6.9,Matthew McConaughey,34513,Gary Ross,2016,6757,Free State of Jones,9,9,0,55.55555556,0,11.11111111,0,33.33333333,1,2,5.000000001,8.000000001
165000000,Twentieth Century Fox Film Corporation,USA,Roland Emmerich,Action,103144286,Independence Day: Resurgence,PG-13,42545,120,5.3,Liam Hemsworth,137119,Nicolas Wright,2016,6693,Independence Day: Resurgence,19,19,4,31.57894737,3,26.31578947,0,42.10526316,1,1,1.2,2.800000001
17000000,Columbia Pictures,USA,Jaume Collet-Serra,Drama,55121623,The Shallows,PG-13,42545,86,6.3,Blake Lively,87057,Anthony Jaswinski,2016,6680,The Shallows,11,11,2,27.27272727,1,18.18181818,0,54.54545455,1,1,1.5,4.500000001
200000000,Pixar Animation Studios,USA,Andrew Stanton,Animation,486295561,Finding Dory,PG,42538,97,7.4,Ellen DeGeneres,173005,Andrew Stanton,2016,6688,Finding Dory,6,6,2,50,2,0,0,50,1,0,0,0
30000000,X-Filme Creative Pool,UK,Tom Tykwer,Comedy,4198126,A Hologram for the King,R,42531,98,6.1,Tom Hanks,29436,Dave Eggers,2016,6781,A Hologram for the King,5,5,0,20,0,40,0,40,0,0,0.5,1.5
40000000,New Line Cinema,Canada,James Wan,Horror,102470008,The Conjuring 2,R,42531,134,7.4,Vera Farmiga,151427,Carey Hayes,2016,6626,The Conjuring 2,14,14,3,28.57142857,3,21.42857143,0,50,1,1,1.333333333,3.666666666
20000000,Apatow Productions,USA,Akiva Schaffer,Comedy,9393835,Popstar: Never Stop Never Stopping,R,42524,87,6.7,Andy Samberg,35620,Andy Samberg,2016,6743,Popstar: Never Stop Never Stopping,21,21,1,28.57142857,1,14.28571429,0,57.14285714,1,1,1.999999999,5.999999998
178000000,Twentieth Century Fox Film Corporation,USA,Bryan Singer,Action,155442489,X-Men: Apocalypse,PG-13,42517,144,7,James McAvoy,296415,Simon Kinberg,2016,6629,X-Men: Apocalypse,6,6,0,66.66666667,0,33.33333333,0,0,1,2,2,2
73000000,Columbia Pictures,Finland,Clay Kaytis,Animation,107509366,The Angry Birds Movie,PG,42510,97,6.3,Jason Sudeikis,59472,Jon Vitti,2016,6751,The Angry Birds Movie,73,73,3,34.24657534,0,19.17808219,0,46.57534247,1,1,1.785714286,4.214285715
35000000,Good Universe,USA,Nicholas Stoller,Comedy,55291815,Neighbors 2: Sorority Rising,R,42510,92,5.7,Seth Rogen,83340,Andrew Jay Cohen,2016,6715,Neighbors 2: Sorority Rising,12,12,0,83.33333333,0,0,0,16.66666667,1,2,0,0
250000000,Marvel Studios,USA,Anthony Russo,Action,408084349,Captain America: Civil War,PG-13,42496,147,7.9,Chris Evans,442645,Christopher Markus,2016,6625,Captain America: Civil War,9,9,0,33.33333333,0,44.44444444,0,22.22222222,0,0,0.75,1.25
0,Edward R. Pressman Film,UK,Matt Brown,Biography,3866794,The Man Who Knew Infinity,PG-13,42489,108,7.2,Dev Patel,33630,Matt Brown,2015,6495,The Man Who Knew Infinity,12,12,0,41.66666667,0,8.333333333,0,50,1,1,5.000000001,11
115000000,Universal Pictures,USA,Cedric Nicolas-Troyan,Action,47952020,The Huntsman: Winter's War,PG-13,42482,114,6.1,Chris Hemsworth,71570,Evan Spiliotopoulos,2016,6689,The Huntsman: Winter's War,11,11,0,90.90909091,0,0,0,9.090909091,1,2,0,0
175000000,Fairview Entertainment,UK,Jon Favreau,Adventure,364001123,The Jungle Book,PG,42475,106,7.5,Neel Sethi,209062,Justin Marks,2016,6677,The Jungle Book,11,11,1,54.54545455,0,9.090909091,0,36.36363636,1,2,6,10
900000,Hidden Empire Film Group,USA,Deon Taylor,Comedy,9093856,Meet the Blacks,R,42461,94,6,Mike Epps,18980,Nicole DeMasi,2016,6795,Meet the Blacks,6,6,9,16.66666667,0,33.33333333,2,50,0,1,0.5,2
0,Piki Films,New Zealand,Taika Waititi,Adventure,5202582,Hunt for the Wilderpeople,PG-13,42460,101,7.9,Sam Neill,60530,Taika Waititi,2016,6730,Hunt for the Wilderpeople,30,30,0,56.66666667,0,6.666666667,0,36.66666667,1,2,8.5,14
13000000,Columbia Pictures,USA,Patricia Riggen,Biography,61693523,Miracles from Heaven,PG,42445,109,7,Jennifer Garner,13373,Christy Beam,2016,6788,Miracles from Heaven,21,21,1,47.61904762,1,19.04761905,0,33.33333333,1,2,2.5,4.249999999
35000000,Big Talk Productions,UK,Louis Leterrier,Action,6864016,The Brothers Grimsby,R,42440,83,6.2,Sacha Baron Cohen,67444,Sacha Baron Cohen,2016,6729,The Brothers Grimsby,8,8,2,37.5,0,12.5,0,50,1,1,3,7
15000000,Paramount Pictures,USA,Dan Trachtenberg,Drama,71897215,10 Cloverfield Lane,PG-13,42440,104,7.2,John Goodman,208655,Josh Campbell,2016,6672,10 Cloverfield Lane,16,16,26,37.5,5,6.25,0,56.25,1,1,6,15
60000000,Millennium Films,UK,Babak Najafi,Action,62524260,London Has Fallen,R,42433,99,5.9,Gerard Butler,106352,Creighton Rothenberger,2016,6712,London Has Fallen,15,15,1,46.66666667,1,20,0,33.33333333,1,2,2.333333334,4
150000000,Walt Disney Pictures,USA,Byron Howard,Animation,341268248,Zootopia,PG,42433,108,8,Ginnifer Goodwin,317549,Byron Howard,2016,6631,Zootopia,5,5,0,40,0,0,0,60,1,1,0,0
7000000,Double Feature Films,USA,Peter Sollett,Biography,532988,Freeheld,PG-13,42433,103,6.5,Julianne Moore,8801,Ron Nyswaner,2015,6579,Freeheld,8,8,0,25,0,0,0,75,1,1,0,0
0,Dogwood Films,USA,Terrence Malick,Drama,558402,Knight of Cups,R,42433,118,5.7,Christian Bale,18771,Terrence Malick,2015,6464,Knight of Cups,6,6,0,0,0,50,0,50,0,0,0,1
50000000,Panorama Films,USA,Ben Stiller,Comedy,28848693,Zoolander 2,PG-13,42412,101,4.7,Ben Stiller,51053,Justin Theroux,2016,6733,Zoolander 2,11,11,4,54.54545455,4,9.090909091,0,36.36363636,1,2,6,10
58000000,Twentieth Century Fox Film Corporation,USA,Tim Miller,Action,363070709,Deadpool,R,42412,108,8,Ryan Reynolds,668625,Rhett Reese,2016,6617,Deadpool,5,5,0,60,0,0,0,40,1,2,0,0
22000000,Working Title Films,UK,Ethan Coen,Comedy,30080225,"Hail, Caesar!",PG-13,42405,106,6.3,Josh Brolin,94361,Joel Coen,2016,6719,"Hail, Caesar!",11,11,9,36.36363636,8,27.27272727,1,36.36363636,1,0,1.333333333,2.666666667
28000000,Cross Creek Pictures,USA,Burr Steers,Action,10907291,Pride and Prejudice and Zombies,PG-13,42405,108,5.8,Lily James,37491,Burr Steers,2016,6696,Pride and Prejudice and Zombies,14,14,0,21.42857143,0,28.57142857,0,50,0,1,0.75,2.5
8000000,Harmonius Claptrap,USA,Duke Johnson,Animation,3442820,Anomalisa,R,42405,90,7.2,David Thewlis,47499,Charlie Kaufman,2015,6503,Anomalisa,17,17,3,23.52941176,0,11.76470588,0,64.70588235,1,1,2,7.500000001
145000000,China Film Co.,China,Alessandro Carloni,Animation,143528619,Kung Fu Panda 3,PG,42398,95,7.1,Jack Black,95310,Jonathan Aibel,2016,6762,Kung Fu Panda 3,22,22,4,36.36363636,0,4.545454545,0,59.09090909,1,1,8,21
38000000,Columbia Pictures,USA,J Blakeson,Action,34912982,The 5th Wave,PG-13,42391,112,5.2,Chloë Grace Moretz,76535,Susannah Grant,2016,6709,The 5th Wave,16,16,1,25,0,18.75,0,56.25,1,1,1.333333333,4.333333333
27500000,Lionsgate,USA,Dan Mazer,Comedy,35537564,Dirty Grandpa,R,42391,102,6,Robert De Niro,82289,John Phillips,2016,6702,Dirty Grandpa,11,11,0,36.36363636,0,27.27272727,0,36.36363636,1,0,1.333333333,2.666666667
15000000,Working Title Films,UK,Tom Hooper,Biography,12706393,The Danish Girl,R,42391,119,7.1,Eddie Redmayne,117432,David Ebershoff,2015,6402,The Danish Girl,10,10,2,20,0,10,0,70,1,1,2,9
44000000,Visiona Romantica,USA,Quentin Tarantino,Crime,54117416,The Hateful Eight,R,42368,167,7.8,Samuel L. Jackson,360020,Quentin Tarantino,2015,6383,The Hateful Eight,17,17,6,41.17647059,5,11.76470588,0,47.05882353,1,1,3.500000001,7.500000002
36000000,Dreams Salon Entertainment Culture,China,Wilson Yip,Action,2679437,Ip Man 3,PG-13,42362,105,7.1,Donnie Yen,31713,Tai-lee Chan,2015,6555,Ip Man 3,14,14,0,42.85714286,0,21.42857143,0,35.71428571,1,2,2,3.666666666
90000000,Fox 2000 Pictures,USA,Walt Becker,Animation,85886987,Alvin and the Chipmunks: The Road Chip,PG,42356,100,5.1,Jason Lee,12069,Ross Bagdasarian,2015,6522,Alvin and the Chipmunks: The Road Chip,5,5,3,60,2,0,0,40,1,2,0,0
245000000,Lucasfilm,USA,J.J. Abrams,Action,936662225,Star Wars: The Force Awakens,PG-13,42356,136,8.1,Daisy Ridley,687192,Lawrence Kasdan,2015,6381,Star Wars: The Force Awakens,15,15,2,46.66666667,1,13.33333333,0,40,1,2,3.500000001,6.500000002
0,Dentsu,Japan,Hiromasa Yonebayashi,Animation,765127,El recuerdo de Marnie,PG,42356,103,7.8,Sara Takatsuki,18970,Joan G. Robinson,2014,6373,El recuerdo de Marnie,8,8,9,12.5,1,0,0,87.5,1,1,0,0
40000000,Davis Entertainment,USA,Paul McGuigan,Drama,5775076,Victor Frankenstein,PG-13,42333,110,6,Daniel Radcliffe,40525,Max Landis,2015,6478,Victor Frankenstein,6,6,2,33.33333333,2,16.66666667,0,50,1,1,1.999999999,4.999999999
200000000,Pixar Animation Studios,USA,Peter Sohn,Animation,123087120,The Good Dinosaur,PG,42333,93,6.7,Jeffrey Wright,80711,Bob Peterson,2015,6474,The Good Dinosaur,12,12,1,41.66666667,1,16.66666667,0,41.66666667,1,0,2.5,4.999999999
19500000,IM Global,USA,Billy Ray,Crime,20180155,Secret in Their Eyes,PG-13,42328,111,6.2,Chiwetel Ejiofor,29254,Billy Ray,2015,6472,Secret in Their Eyes,13,13,2,61.53846154,0,15.38461538,0,23.07692308,1,2,4.000000001,5.500000002
160000000,Color Force,USA,Francis Lawrence,Action,281723902,The Hunger Games: Mockingjay - Part 2,PG-13,42328,137,6.6,Jennifer Lawrence,212989,Peter Craig,2015,6416,The Hunger Games: Mockingjay - Part 2,16,16,14,43.75,11,18.75,3,37.5,1,2,2.333333333,4.333333333
17000000,CBS Films,USA,Jessie Nelson,Comedy,26284475,Love the Coopers,PG-13,42321,107,5.7,Steve Martin,13475,Steven Rogers,2015,6552,Love the Coopers,8,8,2,37.5,0,50,1,12.5,0,0,0.75,1
99000000,Twentieth Century Fox Animation,USA,Steve Martino,Animation,130178411,The Peanuts Movie,G,42314,88,7.1,Noah Schnapp,34889,Craig Schulz,2015,6554,The Peanuts Movie,48,48,22,56.25,19,10.41666667,1,33.33333333,1,2,5.399999998,8.599999997
15000000,Broken Road Productions,USA,Christopher Landon,Action,3635292,Scouts Guide to the Zombie Apocalypse,R,42307,93,6.3,Tye Sheridan,33629,Carrie Lee Wilson,2015,6460,Scouts Guide to the Zombie Apocalypse,7,7,0,28.57142857,0,0,0,71.42857143,1,1,0,0
10000000,Blumhouse Productions,USA,Gregory Plotkin,Horror,18300124,Paranormal Activity: The Ghost Dimension,R,42300,88,4.6,Chris J. Murray,19280,Jason Pagan,2015,6573,Paranormal Activity: The Ghost Dimension,5,5,0,20,0,20,0,60,0,1,1,4
5000000,Allspark Pictures,USA,Jon M. Chu,Adventure,2184640,Jem and the Holograms,PG,42300,118,4.1,Aubrey Peeples,5640,Ryan Landels,2015,6536,Jem and the Holograms,12,12,3,50,3,16.66666667,0,33.33333333,1,2,2.999999999,4.999999999
90000000,Summit Entertainment,USA,Breck Eisner,Action,27367660,The Last Witch Hunter,PG-13,42300,106,6,Vin Diesel,74795,Cory Goodman,2015,6437,The Last Witch Hunter,19,19,1,26.31578947,0,15.78947368,0,57.89473684,1,1,1.666666667,5.333333334
6000000,"Princess Grace Foundation, The",USA,Cary Fukunaga,Drama,83861,Beasts of No Nation,NOT RATED,42293,137,7.8,Abraham Attah,52905,Cary Fukunaga,2015,6497,Beasts of No Nation,19,19,4,15.78947368,1,5.263157895,0,78.94736842,1,1,2.999999999,18
40000000,DreamWorks,USA,Steven Spielberg,Drama,72313754,Bridge of Spies,PG-13,42293,142,7.6,Tom Hanks,227862,Matt Charman,2015,6434,Bridge of Spies,13,13,1,38.46153846,0,7.692307692,0,53.84615385,1,1,5,12
55000000,Double Dare You (DDY),USA,Guillermo del Toro,Drama,31056945,Crimson Peak,R,42293,119,6.5,Mia Wasikowska,102529,Guillermo del Toro,2015,6420,Crimson Peak,16,16,2,56.25,0,12.5,0,31.25,1,2,4.5,7
108000000,Twentieth Century Fox Film Corporation,UK,Ridley Scott,Adventure,228433663,The Martian,PG-13,42279,144,8,Matt Damon,579946,Drew Goddard,2015,6389,The Martian,5,5,0,40,0,20,0,40,1,0,2,4
30000000,Black Label Media,USA,Denis Villeneuve,Action,46889293,Sicario,R,42279,121,7.6,Emily Blunt,257207,Taylor Sheridan,2015,6385,Sicario,5,5,0,20,0,40,0,40,0,0,0.5,1.5
80000000,Columbia Pictures,USA,Genndy Tartakovsky,Animation,169700110,Hotel Transylvania 2,PG,42272,89,6.7,Adam Sandler,73328,Robert Smigel,2015,6431,Hotel Transylvania 2,19,19,8,26.31578947,1,31.57894737,5,42.10526316,0,1,0.833333333,2.166666667
19000000,Gail Katz Productions,USA,Edward Zwick,Biography,2436062,Pawn Sacrifice,PG-13,42272,115,7,Tobey Maguire,29268,Steven Knight,2014,6289,Pawn Sacrifice,7,7,2,28.57142857,2,0,0,71.42857143,1,1,0,0
6000000,Worldview Entertainment,USA,Eli Roth,Adventure,7192291,The Green Inferno,R,42272,100,5.3,Lorenza Izzo,28341,Guillermo Amoedo,2013,5975,The Green Inferno,27,27,0,40.74074074,0,25.92592593,0,33.33333333,1,2,1.571428571,2.857142857
61000000,Gotham Group,USA,Wes Ball,Action,81670090,Maze Runner: The Scorch Trials,PG-13,42265,131,6.3,Dylan O'Brien,166404,T.S. Nowlin,2015,6390,Maze Runner: The Scorch Trials,13,13,57,7.692307692,0,0,0,92.30769231,1,1,0,0
0,Ulrich Seidl Film Produktion GmbH,Austria,Severin Fiala,Horror,1168902,Goodnight Mommy,R,42258,99,6.7,Lukas Schwarz,29190,Veronika Franz,2014,6276,Goodnight Mommy,20,20,2,10,1,15,0,75,0,1,0.666666667,5.666666667
65000000,Sparkle Roll Media,China,Daniel Lee,Action,74068,Dragon Blade,R,42251,127,6.1,Jackie Chan,14229,Daniel Lee,2015,6547,Dragon Blade,6,6,1,33.33333333,0,16.66666667,0,50,1,1,1.999999999,4.999999999
